,GW,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,name
511,744.0,0.0,1720.0,3.0,3.0,10.0,635.0,8.0,269.0,1390.0,146.9,13.0,0.0,16074.0,0.0,6.0,7319.0,29.0,43.0,4.0,137.69999999999996,407744.0,954.2000000000002,11.0,0.0,0.0,3168.0,3.0,0.0,380.0,0.0,0.0,0.0,0.0,215.0,1.0,744.0,0.0,10273793.0,19.0,33.0,13.0,40.0,53.0,279.0,120.0,384288.0,922340.0,538052.0,1750.0,19.0,0.0,2.0,Wolves,Willy Boly
512,746.0,0.0,54.0,0.0,0.0,0.0,45.0,2.0,2.0,42.0,1.0,0.0,0.0,4256.0,0.0,0.0,7203.0,0.0,0.0,0.0,2.6,396524.0,24.6,0.0,0.0,0.0,180.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,12.0,0.0,746.0,3.0,299107.0,0.0,0.0,0.0,36.0,66.0,0.0,13.0,-6277.0,7391.0,13668.0,1805.0,19.0,0.0,0.0,Chelsea,Willy Caballero
513,744.0,4.0,961.0,4.0,3.0,5.0,320.0,7.0,52.0,738.0,415.99999999999994,24.0,0.0,14896.0,0.0,0.0,7316.0,54.0,39.0,2.0,129.59999999999997,406532.0,429.2,29.0,0.0,0.0,2419.0,0.0,3.0,384.0,0.0,0.0,0.0,0.0,159.0,0.0,744.0,0.0,2150894.0,70.0,27.0,10.0,54.0,57.0,451.0,87.0,15425.0,223059.0,207634.0,1880.0,19.0,1.0,5.0,Watford,Will Hughes
514,744.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16036.0,0.0,0.0,7319.0,0.0,0.0,0.0,0.0,407702.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,0.0,4953217.0,0.0,0.0,0.0,40.0,53.0,0.0,1.0,-9495.0,80986.0,90481.0,1509.0,19.0,0.0,0.0,Wolves,Will Norris
515,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15238.0,0.0,0.0,7297.0,0.0,0.0,0.0,0.0,404829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,0.0,38877.0,0.0,0.0,0.0,47.0,60.0,0.0,0.0,-564.0,897.0,1461.0,1677.0,19.0,0.0,0.0,West Ham,Winston Reid
516,741.0,5.0,640.0,3.0,3.0,4.0,302.0,7.0,12.0,520.0,344.7,5.0,0.0,17556.0,0.0,0.0,7255.0,9.0,6.0,6.0,99.10000000000001,407147.0,363.6,20.0,0.0,0.0,1052.0,2.0,8.0,396.0,0.0,0.0,0.0,0.0,65.0,0.0,741.0,0.0,6265961.0,29.0,5.0,9.0,44.0,67.0,282.0,88.0,-277566.0,338471.0,616037.0,2670.0,19.0,1.0,2.0,Liverpool,Xherdan Shaqiri
517,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6270.0,0.0,0.0,7230.0,0.0,0.0,0.0,0.0,394674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0,0.0,254924.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,-14340.0,722.0,15062.0,2207.0,19.0,0.0,0.0,Everton,Yannick Bolasie
518,739.0,0.0,506.0,0.0,1.0,2.0,176.0,3.0,61.0,426.0,37.5,0.0,0.0,19228.0,1.0,2.0,7230.0,13.0,13.0,1.0,29.600000000000005,407720.0,198.19999999999996,3.0,0.0,0.0,891.0,1.0,0.0,404.0,0.0,0.0,0.0,0.0,41.0,0.0,739.0,0.0,1612360.0,2.0,7.0,2.0,45.0,55.0,61.0,36.0,-91774.0,52745.0,144519.0,2056.0,19.0,0.0,3.0,Everton,Yerry Mina
519,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8284.0,0.0,0.0,7244.0,0.0,0.0,0.0,0.0,397875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,0.0,1995185.0,0.0,0.0,0.0,47.0,52.0,0.0,0.0,-28178.0,29259.0,57437.0,1487.0,19.0,0.0,0.0,Leicester,Yohan Benalouane
520,741.0,0.0,115.0,0.0,2.0,0.0,65.0,1.0,8.0,80.0,66.79999999999998,8.0,0.0,18544.0,0.0,1.0,7288.0,13.0,10.0,1.0,27.4,408135.0,71.8,5.0,0.0,0.0,514.0,2.0,0.0,390.0,0.0,0.0,0.0,0.0,29.0,0.0,741.0,0.0,146582.0,20.0,3.0,2.0,43.0,47.0,140.0,24.0,-5413.0,5472.0,10885.0,2155.0,19.0,0.0,1.0,Newcastle United,Yoshinori Muto
521,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14250.0,0.0,0.0,7316.0,0.0,0.0,0.0,0.0,405818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,0.0,257728.0,0.0,0.0,0.0,54.0,57.0,0.0,0.0,-7987.0,1700.0,9687.0,1613.0,19.0,0.0,0.0,Watford,Younes Kaboul
522,751.0,0.0,720.0,0.0,2.0,0.0,170.0,3.0,61.0,588.0,213.00000000000003,49.0,0.0,17708.0,1.0,1.0,7159.0,40.0,32.0,0.0,66.8,413521.0,253.4,13.0,0.0,0.0,1764.0,2.0,0.0,414.0,0.0,0.0,0.0,0.0,115.0,0.0,751.0,0.0,64713.0,55.0,13.0,19.0,44.0,51.0,201.0,43.0,-1036.0,3158.0,4194.0,1791.0,19.0,0.0,5.0,Brighton,Yves Bissouma
523,746.0,0.0,229.0,0.0,10.0,3.0,119.0,6.0,7.0,177.0,130.2,7.0,0.0,5092.0,0.0,0.0,7203.0,19.0,11.0,5.0,86.30000000000001,397404.0,219.79999999999995,7.0,0.0,0.0,936.0,20.0,0.0,408.0,0.0,0.0,0.0,0.0,19.0,0.0,746.0,0.0,4518232.0,28.0,4.0,10.0,36.0,66.0,523.0,46.0,-131116.0,318019.0,449135.0,3262.0,19.0,2.0,3.0,Chelsea,Álvaro Morata
